shortname,B,F110W,FUV,H,I,J,K,Ks,L,M,NUV,R,U,V,W1,W2,W3,W4,Y,[24],[3.6],[4.5],[5.8],[8.0],[8],g,i,r,u,y,z
1207-3900,,,,14.61,,15.5,,14.04,,,,,,,13.64,13.204,12.899,8.871,,,,,,,,,,,,,
1207-3932,,,,12.389,,12.9975,,11.9475,11.38,,,,,,11.556,11.009,9.456,8.029,,8.089,,,,,10.189,,,,,,
1207-3932A,,,,12.39,15.88,13,,11.95,11.38,,,,,,11.556,11.009,9.456,8.029,,,,,,,,,,,,,
1207-3932B,,,,18.09,,20,,16.93,15.28,,,,,,,,,,,,,,,,,,,,,,
1217-0311,,16.73,,15.748,,15.86,,15.89,,17.84,,,,,15.288,13.197,11.688,8.929,,,14.19,13.23,13.34,,12.95,25.23,22.87,23.92,23.2,,19.34
1225-2739,,,,15.098,,15.07,15.28,15.073,13.22,,,,,,14.7,12.707,11.215,9.099,15.84,,13.84,12.75,12.84,,12.24,,,,,,
1228-1547,,,,13.347,17.888,14.31,,12.704,,,,,,,12.007,11.682,11.171,9.112,,,,,,,,,,,,,
1237+6526,,,,15.8395,,15.8065,16.4,,,,,,,,15.484,12.946,12.046,9.217,,,14.39,12.93,13.42,,12.78,25.17371,23.24789,25.09954,24.51768,,19.60072
1239+5515,,,,13.568,,14.711,,12.792,,,,,,,12.032,11.663,11.169,9.401,,,,,,,11.428,24.31533,19.68885,22.13345,24.76238,,17.52437
1245-4429,,,,13.8,18.03,14.512,,13.2525,,,,,,,12.994,12.623,12.562,9.093,,,,,,,,,,,,,
1254-0122,,15.66,,14.11,,14.7755,13.84,13.837,12.25,13.375,,,,,13.305,12.396,10.731,8.871,,,12.63,12.39,11.99,,11.75,24.62795,22.18094,24.44372,25.78375,,18.02159
1300+1221,,,,17.014,,16.687,16.903,,,,,,,,16.009,13.736,11.643,9.199,17.715,,15.365,13.85,,,,24.14,23.276,24.783,25.473,,20.036
1305-2541,,,,12.392,16.8,13.414,,11.747,,,,19.14,,22.03,11.239,10.913,10.376,9.337,,,10.92,10.9,10.73,,10.61,,,,,,
1320+0409,,,,14.302,,15.246,,13.621,,,,,,,13.162,12.882,12.27,9.139,,,,,,,,24.91232,19.88747,22.36971,24.43081,,17.96889
1326-0038,,,,15.075,,16.1565,14.17,14.208,,,,,,,13.269,12.754,12.364,9.374,,,,,,,,24.46813,21.71997,23.73136,23.49444,,19.03658
1346-0031,,,,15.459,,15.745,15.73,15.772,,,,,,,15.485,13.567,12.149,9.197,16.63,,14.53,13.6,13.4,,13.13,24.36,23.08,24.85,25.22,,19.17
1359-4034,,,,13.034,16.985,13.7145,,12.5955,,,,,,,12.197,11.916,11.078,9.092,,,,,,,,,,,,,
1411-2119,,,,11.826,,12.437,,11.33,,,,,,,11.077,10.815,10.648,8.812,,,,,,,,,,,,,
1416+1348B,,,,17.62,,17.35,18.93,,,,,,,,16.118,12.791,12.193,9.111,18.13,,14.69,12.76,,,,,25.21,,,,20.87
1416+5006,,,,15.9925,,16.87,15.35,15.597,,,,,,,14.7,14.411,13.194,9.763,,,,,,,,24.779,21.994,23.824,23.565,,19.557
1424+0917,,,,14.7655,,15.6635,14.09,14.169,12.93,,,,,,13.198,13.042,12.875,9.598,17.01,,,,,,,22.75859,20.53224,21.25536,24.39064,,18.45615
1425-3650,,,,12.575,17.35,13.747,,11.805,,,,19.67,,22.81,10.998,10.576,10.01,9.566,,,,,,,10.113,,,,,,
1428+3310,,,,11.23,,11.99,,10.74,,,,,,,10.431,10.168,9.677,9.258,,,10.16,10.16,9.97,,9.81,20.962,16.2,18.585,21.902,,14.406
1439+1839,,,,12.733,,13.194,,12.479,,,,,,,12.298,12.051,11.668,9.175,,,,,,,,19.384,15.696,17.681,21.888,,14.707
1439+1929,,,,12.0455,15.97,12.7095,11.47,11.546,10.8,11.13,,18.45,,,11.189,10.953,10.529,8.997,,,10.91,10.93,10.82,,10.67,22.151,17.135,19.707,23.509,,15.308
1440+1339,,,,11.71,14.81,12.395,,11.337,,,,17.04,,18.95,11.092,10.925,10.701,8.962,,,,,,,,20.043,15.774,18.222,23.523,,
1448+1031,,,,13.433,,14.556,,12.6815,,,,,,,11.893,11.48,10.849,8.982,,,,,,,11.063,24.47144,19.58401,22.2036,25.20177,,17.43725
1456-2809,,,,9.3725,12.53,9.9525,8.93,8.928,8.43,,,14.9,,16.95,,,,,,,8.47,8.49,8.39,,8.36,,,,,,
1457-2121,,,,15.274,,15.072,15.52,15.242,12.98,,,,,,14.824,12.114,10.863,9.19,,,13.8,12.12,12.77,,11.97,,23.08,,,,18.9
1501+2250,,,,11.1805,15.02,11.813,10.69,10.706,10.04,,,17.39,,19.63,10.352,10.053,9.618,9.072,,,,,,,,20.98581,16.10679,18.73652,22.49949,,14.31693
1503+2525,,14.65,,13.878,,13.7435,13.99,13.963,11.91,11.92,,,,,13.507,11.723,10.53,9.091,,,12.769,11.757,,,11.543,25.61981,22.01761,25.41785,25.54193,,17.30395
1504+1027,,,,16.92,,16.49,17.02,,,,,,,,16.215,14.063,12.603,9.407,,,15.44,14.01,14.37,,13.76,25.47,24.62,25.06,23.87,,20.609
1506+1321,,,,12.38,,13.365,,11.741,,,,,,,11.176,10.876,10.527,9.257,,,10.86,10.85,10.69,,10.58,22.97,17.99,20.391,23.447,,16.067
1507-1627,,,,11.8975,16.579,12.765,11.29,11.312,9.98,10.69,,18.928,,22.136,10.67,10.369,9.685,8.41,,,10.27,10.4,10.14,,9.99,,,,,,
1510-0241,,,,11.816,,12.572,11.34,11.347,10.68,,,,,,10.941,10.674,10.165,8.843,,,,,,,,21.43253,16.74468,19.43311,24.61486,,14.97263
1511+0607,,,,15.0575,,15.923,14.52,14.544,,,,,,,13.676,13.229,13,9.502,,,,,,,,24.583,21.885,24.867,24.791,,19.079
1515+4847,,,,13.099,,14.111,,12.5,,,,,,,11.708,11.322,10.515,9.495,,,11.31,11.33,11.07,,10.83,23.709,19.351,21.698,25.582,,16.721
1523+3014,,,,14.989,,16.003,14.35,14.348,12.86,,,,,,13.488,12.969,11.793,9.213,,11.549,,,,,12.205,,,,,,
1526+2043,,,,14.497,,15.586,,13.922,,,,,,,13.153,12.826,12.54,9.613,,,12.79,12.87,12.6,,12.32,25.57165,20.62608,22.96698,25.90106,,18.17471
1539-0520,,,,13.06,17.56,13.922,,12.575,,,,19.69,,,12.004,11.744,11.655,8.879,,,11.65,11.75,11.61,,11.6,,,,,,
1546-3325,,,,15.446,,15.631,,15.485,,,,,,,15.296,13.445,11.104,8.056,,,,,,,,,,,,,
1552+2948,,,,12.606,,13.478,,12.022,,,,,,,11.544,11.207,10.664,9.003,,,,,,,,23.44371,18.11449,20.59729,24.9822,,16.21097
1555-0956,,,,11.984,15.7775,12.5855,,11.41,,,,18.28,,21.04,11.137,10.857,10.702,8.351,,,10.83,10.88,10.76,,10.63,,,,,,
1615+1340,,,,16.49,,16.35,,,,,,,,,16.14,14.114,12.063,9.062,,,,,,,,,23.53,,,,19.66
1624+0029,,16.28,,15.502,,15.347,15.61,,13.6,17.21,,,,,15.121,13.085,12.496,9.064,,,14.3,13.08,13.25,,12.84,24.46166,22.88414,24.1839,25.43676,,18.982065
1626+3925,,,,14.533,,14.435,,14.466,,,,,,,13.461,13.091,12.435,9.239,,,,,,,,23.08,17.92,20.65,,,16.13
1632+1904,,,,14.646,,15.8185,13.97,14.003,12.54,13.07,,,,,13.124,12.617,11.986,9.333,,,12.7,12.65,12.24,,12,25.92447,21.67567,23.57428,24.77823,,18.57364
1647+5632,,,,15.259,,16.911,,14.611,,,,,,,13.604,13.086,12.059,9.616,,,13.253,13.128,,,,,,,,,
1655-0823,,,,9.201,12.24433333,9.7565,,8.8175,,,,14.64,,16.85,8.588,8.365,8.132,7.857,,,8.37,8.38,8.28,,8.24,17.738,13.221,16.046,19.201,,11.766
1658+7026,,,,12.47,,13.288,,11.915,,,,,,,11.604,11.384,10.829,9.592,,,,,,,11.095,,,,,,
1726+1538,,,,14.465,,15.669,,13.659,,,,,,,13.071,12.694,11.556,9.309,,,12.76,12.64,12.41,,12.2,,,,,,
1728+3948,,,,14.756,,15.988,,13.909,,,,,,,13.107,12.639,11.865,9.79,,,12.72,12.66,12.29,,12.13,,,,,,
1750+1759,,17.18,,15.946,,16.24,16.02,15.478,,17.42,,,,,15.801,14.48,12.669,9.143,,,14.95,14.46,14.15,,13.93,25.13499,23.745845,24.93422,25.72171,,19.526145
1828-4849,,,,14.908,,15.175,,15.181,,,,,,,14.508,12.773,11.408,8.789,,,,,,,,,,,,,
1835+3259,,,,9.617,,10.27,,9.171,,,,,,,8.803,8.539,8.16,7.886,,,8.55,8.55,8.39,,8.29,,,,,,
1841+3117,,,,14.971,,16.158,,14.22,,,,,,,13.596,13.261,12.121,9.146,,,,,,,,,,,,,
1843+4040,,,,10.694,,11.3115,10.35,10.308,9.78,,,,,,10.072,9.874,9.618,9.332,,,,,,,,19.28451,14.79712,17.51881,20.82869,,13.31019
1916+0508,,,,9.226,,9.908,,8.765,,,,,,,8.465,8.249,8.08,8.427,,,8.29,8.3,8.15,,8.14,,,,,,
2000-7523,,,,11.967,16.119,12.734,,11.511,,,,18.379,,21.157,11.108,10.797,10.55,8.548,,,,,,,,,,,,,
2047-0718,,,,15.88,,16.7,,15.34,13.8,,,,,,14.481,14.048,12.377,9.077,,,,,,,,25.306,24.466,23.526,25.976,,19.7
