shortname,pi,pi_unc,pi_ref,Lbol,Lbol_unc,age,radius,radius_unc,logg,logg_unc,teff,teff_unc,mass,mass_unc
1300+1221,85.54,1.53,9,-5.54,0.02,0.010-10.00,1.06,0.28,4.44,0.97,721,94,32.10,30.00
1305-2541,52,1.54,3,-3.59,0.03,0.500-10.00,,,,
1320+0409,32.3,0.86,2,-3.89,0.03,0.500-10.00,1.01,0.07,5.21,0.17,1913,71,66.94,13.12
1326-0038,49.98,6.33,7,-4.49,0.11,0.500-10.00,0.97,0.11,5.10,0.39,1381,119,51.09,24.90
1346-0031,68.3,2.3,30,-5.06,0.03,0.500-10.00,0.94,0.16,5.01,0.48,1011,86,44.29,26.44
1359-4034,64.2,5.5,9,-4.00,0.07,0.500-10.00,1.00,0.08,5.19,0.20,1799,106,63.44,15.48
1411-2119,26.3,2.9,4,-2.71,0.10,0.010-0.150,1.98,0.44,4.48,0.51,2694,335,69.62,50.83
1416+1348B,109.7,1.3,9,-5.79,0.01,0.500-10.00,0.96,0.16,4.80,0.52,656,54,31.78,21.23
1416+5006,21.9,0.62,9,-4.22,0.03,0.500-10.00,0.99,0.09,5.17,0.23,1595,78,59.02,16.39
1424+0917,31.7,2.5,17,-4.05,0.07,0.500-10.00,1.00,0.08,5.19,0.21,1755,102,62.58,15.57
1425-3650,86.45,0.83,3,-4.04,0.01,0.050-0.120,1.32,0.09,4.43,0.24,1535,55,20.76,7.90
1428+3310,90.8,1.3,18,-3.54,0.01,0.500-10.00,1.06,0.05,5.22,0.11,2275,58,75.98,10.89
1439+1839,28.4,0.7,9,-3.07,0.02,0.500-10.00,1.24,0.04,5.20,0.05,2769,56,98.49,8.49
1439+1929,69.6,0.5,6,-3.69,0.01,0.500-10.00,1.03,0.06,5.22,0.13,2121,61,71.64,11.60
1440+1339,45,1.11,3,-3.17,0.02,0.500-10.00,1.19,0.04,5.21,0.06,2672,57,92.33,8.75
1448+1031,69,4.6,4,-4.19,0.06,0.500-10.00,0.99,0.09,5.17,0.23,1623,91,59.43,16.66
1456-2809,159.2,5.1,16,-3.32,0.03,0.500-10.00,1.12,0.05,5.22,0.08,2511,65,84.02,9.72
1457-2121,171.22,0.94,2,-5.55,0.01,0.500-10.00,0.94,0.16,4.90,0.50,759,63,37.28,24.05
1501+2250,94.4,0.6,6,-3.57,0.01,0.500-10.00,1.05,0.05,5.22,0.11,2242,55,75.07,10.88
1503+2525,157.2,2.2,1,-5.05,0.01,0.500-10.00,0.94,0.16,5.01,0.48,1016,85,44.34,26.30
1504+1027,46.1,1.5,1,-5.09,0.03,0.500-10.00,0.94,0.16,5.00,0.48,992,85,43.97,26.43
1506+1321,70.92,2.5,36,-3.80,0.03,0.500-10.00,1.02,0.07,5.21,0.15,2004,75,68.77,12.85
1507-1627,136.4,0.6,6,-4.21,0.00,0.500-10.00,0.99,0.09,5.18,0.23,1607,70,59.66,15.62
1510-0241,61.2,4.7,5,-3.45,0.07,0.500-10.00,1.08,0.06,5.22,0.11,2377,113,78.67,12.15
1511+0607,36.7,6.4,9,-4.31,0.15,0.500-10.00,,,,
1515+4847,95.24,2,36,-4.32,0.02,0.500-10.00,0.99,0.10,5.15,0.26,1505,74,56.83,17.52
1523+3014,55.98,0.78,2,-4.60,0.01,0.500-10.00,0.97,0.11,5.09,0.40,1295,76,50.10,24.63
1526+2043,48.5,8.7,9,-4.31,0.16,0.500-10.00,0.98,0.10,5.10,0.31,1518,157,54.39,21.40
1539-0520,64.5,3.4,23,-4.05,0.05,0.500-10.00,1.00,0.08,5.19,0.20,1753,85,62.64,15.14
1546-3325,88,1.9,30,-5.07,0.02,0.500-10.00,0.94,0.16,5.00,0.48,1002,84,44.13,26.34
1552+2948,47.7,0.9,8,-3.55,0.02,0.010-0.150,1.43,0.22,4.48,0.41,1956,148,30.04,17.36
1555-0956,74.53,1.21,3,-3.71,0.01,0.500-10.00,1.03,0.06,5.22,0.14,2102,64,71.12,11.93
1615+1340,68.6,6.4,9,-5.25,0.08,0.500-10.00,0.94,0.16,4.97,0.49,906,87,42.35,26.73
1624+0029,90.9,1.2,30,-5.19,0.01,0.500-10.00,0.94,0.15,4.98,0.48,936,78,42.84,26.06
1626+3925,29.85,1.08,28,-3.71,0.03,0.500-10.00,1.03,0.06,5.22,0.14,2103,75,71.03,12.37
1632+1904,65.6,2.1,6,-4.62,0.03,0.500-10.00,0.97,0.12,5.08,0.41,1279,81,49.46,25.22
1647+5632,116,29,37,-5.31,0.22,0.500-10.00,0.94,0.16,4.89,0.57,875,132,41.07,28.95
1655-0823,155.4,1.33,18,-3.20,0.01,0.500-10.00,1.17,0.03,5.21,0.06,2639,40,90.47,8.00
1658+7026,53.9,0.7,6,-3.63,0.01,0.500-10.00,1.04,0.06,5.22,0.12,2181,62,73.21,11.41
1726+1538,28.6,2.9,8,-3.85,0.09,0.010-0.150,1.40,0.20,4.40,0.42,1668,144,24.06,15.58
1728+3948,41.5,3.26,18,-4.23,0.07,0.500-10.00,,,,
1750+1759,36.24,4.53,7,-4.69,0.11,0.500-10.00,0.97,0.16,5.02,0.48,1228,127,47.37,27.39
